dataset,n,max_leaves,distance,head,seeds,ari,ari_min,ari_max,leaves,compression,max_leaf_weight,mean_sq_radius,time_s
digits,1797,4000,euclidean,kmeans,3,0.46702640445685606,0.4426537509737247,0.5712701643077048,1797,1.0,1.0,0.0,0.021221112008788623
digits,1797,4000,euclidean,gmm,3,0.46132854437910764,0.46132854437910764,0.46132854437910764,1797,1.0,1.0,0.0,1.339048975991318
digits,1797,4000,manhattan,kmeans,3,0.46702640445685606,0.4426537509737247,0.5712701643077048,1797,1.0,1.0,0.0,0.019455683999694884
digits,1797,4000,manhattan,gmm,3,0.46132854437910764,0.46132854437910764,0.46132854437910764,1797,1.0,1.0,0.0,1.365626226994209
digits,1797,4000,ward,kmeans,3,0.46702640445685606,0.4426537509737247,0.5712701643077048,1797,1.0,1.0,0.0,0.020650509992265143
digits,1797,4000,ward,gmm,3,0.46132854437910764,0.46132854437910764,0.46132854437910764,1797,1.0,1.0,0.0,1.3587769409932662
digits,1797,4000,average,kmeans,3,0.46702640445685606,0.4426537509737247,0.5712701643077048,1797,1.0,1.0,0.0,0.021070418995805085
digits,1797,4000,average,gmm,3,0.46132854437910764,0.46132854437910764,0.46132854437910764,1797,1.0,1.0,0.0,1.367026118998183
digits,1797,1797,euclidean,kmeans,3,0.46702640445685606,0.4426537509737247,0.5712701643077048,1797,1.0,1.0,0.0,0.021032286997069605
digits,1797,1797,euclidean,gmm,3,0.46132854437910764,0.46132854437910764,0.46132854437910764,1797,1.0,1.0,0.0,1.3589358899916988
digits,1797,1797,euclidean,ward,3,0.6428099608243005,0.6428099608243005,0.6428099608243005,1797,1.0,1.0,0.0,0.10935384700133
digits,1797,1797,manhattan,kmeans,3,0.46702640445685606,0.4426537509737247,0.5712701643077048,1797,1.0,1.0,0.0,0.021747592007159255
digits,1797,1797,manhattan,gmm,3,0.46132854437910764,0.46132854437910764,0.46132854437910764,1797,1.0,1.0,0.0,1.3074689110071631
digits,1797,1797,manhattan,ward,3,0.6175832187097621,0.6175832187097621,0.6175832187097621,1797,1.0,1.0,0.0,0.10560460900887847
digits,1797,1797,ward,kmeans,3,0.46702640445685606,0.4426537509737247,0.5712701643077048,1797,1.0,1.0,0.0,0.02093454399437178
digits,1797,1797,ward,gmm,3,0.46132854437910764,0.46132854437910764,0.46132854437910764,1797,1.0,1.0,0.0,1.365115988010075
digits,1797,1797,ward,ward,3,0.652541441343393,0.652541441343393,0.652541441343393,1797,1.0,1.0,0.0,0.10438319398963358
digits,1797,1797,average,kmeans,3,0.46702640445685606,0.4426537509737247,0.5712701643077048,1797,1.0,1.0,0.0,0.02185081600327976
digits,1797,1797,average,gmm,3,0.46132854437910764,0.46132854437910764,0.46132854437910764,1797,1.0,1.0,0.0,1.3674911330017494
digits,1797,1797,average,ward,3,0.6224058685395193,0.6224058685395193,0.6224058685395193,1797,1.0,1.0,0.0,0.10741047500050627
digits,1797,900,euclidean,kmeans,3,0.5599927887519575,0.5481650465886548,0.5729305488379614,898,2.0011135857461024,54.0,4.688567646781835,0.01171336900733877
digits,1797,900,euclidean,gmm,3,0.4402738361523622,0.38791604738834007,0.4402738361523622,898,2.0011135857461024,54.0,4.688567646781835,0.46995339599379804
digits,1797,900,euclidean,ward,3,0.6819414998332468,0.6819414998332468,0.6819414998332468,898,2.0011135857461024,54.0,4.688567646781835,0.03209885100659449
digits,1797,900,manhattan,kmeans,3,0.5467935533488227,0.4948388286840708,0.5838352348993013,819,2.1941391941391943,58.0,5.581975464682807,0.012451056012650952
digits,1797,900,manhattan,gmm,3,0.3873737949119469,0.3873737949119469,0.4819854340688629,819,2.1941391941391943,58.0,5.581975464682807,0.4731981359946076
digits,1797,900,manhattan,ward,3,0.6243536655515894,0.6243536655515894,0.6243536655515894,819,2.1941391941391943,58.0,5.581975464682807,0.02687478000007104
digits,1797,900,ward,kmeans,3,0.5478065376962231,0.5241886070028262,0.5583770855254683,828,2.170289855072464,24.0,4.538090409883827,0.012137536003137939
digits,1797,900,ward,gmm,3,0.4537130744162066,0.42997214545630724,0.4540813619204852,828,2.170289855072464,24.0,4.538090409883827,0.5105940240027849
digits,1797,900,ward,ward,3,0.6667063811269338,0.6667063811269338,0.6667063811269338,828,2.170289855072464,24.0,4.538090409883827,0.027395969998906367
digits,1797,900,average,kmeans,3,0.5488528932947957,0.5356471179164114,0.5582186907067072,811,2.215782983970407,48.0,5.473285099818065,0.012354053993476555
digits,1797,900,average,gmm,3,0.47573048745132807,0.4513893574151415,0.47573048745132807,811,2.215782983970407,48.0,5.473285099818065,0.3276708890043665
digits,1797,900,average,ward,3,0.650983552137736,0.650983552137736,0.650983552137736,811,2.215782983970407,48.0,5.473285099818065,0.02683311099826824
digits,1797,450,euclidean,kmeans,3,0.5240674425504181,0.4747225439682748,0.5729360348545756,427,4.208430913348946,160.0,12.474650465556103,0.007303720005438663
digits,1797,450,euclidean,gmm,3,0.548464646551652,0.548464646551652,0.548464646551652,427,4.208430913348946,160.0,12.474650465556103,0.12449584199930541
digits,1797,450,euclidean,ward,3,0.6196925499968663,0.6196925499968663,0.6196925499968663,427,4.208430913348946,160.0,12.474650465556103,0.009260838996851817
digits,1797,450,manhattan,kmeans,3,0.5550498290970455,0.5515541954051516,0.6060790348991681,435,4.13103448275862,140.0,11.776121785996306,0.007253335003042594
digits,1797,450,manhattan,gmm,3,0.3810187184748487,0.3810187184748487,0.3810187184748487,435,4.13103448275862,140.0,11.776121785996306,0.16884551200200804
digits,1797,450,manhattan,ward,3,0.5398131969435992,0.5398131969435992,0.5398131969435992,435,4.13103448275862,140.0,11.776121785996306,0.009347300991066732
digits,1797,450,ward,kmeans,3,0.5336854731708405,0.5263035113609181,0.5906111749741121,417,4.309352517985611,52.0,8.94778758442751,0.007860277008148842
digits,1797,450,ward,gmm,3,0.4961412041735896,0.4961412041735896,0.4961412041735896,417,4.309352517985611,52.0,8.94778758442751,0.13778694800566882
digits,1797,450,ward,ward,3,0.655449046775492,0.655449046775492,0.655449046775492,417,4.309352517985611,52.0,8.94778758442751,0.009310952998930588
digits,1797,450,average,kmeans,3,0.5497033633160455,0.4847415322911608,0.5858860915604718,417,4.309352517985611,117.0,11.728802457295538,0.007855337011278607
digits,1797,450,average,gmm,3,0.5510463557275264,0.40777510077004975,0.5510463557275264,417,4.309352517985611,117.0,11.728802457295542,0.18287504599720705
digits,1797,450,average,ward,3,0.6073533806375788,0.6073533806375788,0.6073533806375788,417,4.309352517985611,117.0,11.728802457295538,0.009797548002097756
digits,1797,225,euclidean,kmeans,3,0.5628153726078342,0.41572461730789506,0.5670235486911408,218,8.243119266055047,243.0,20.774435369345536,0.004998196003725752
digits,1797,225,euclidean,gmm,3,0.5189879673649054,0.4500276120662476,0.5189879673649054,218,8.243119266055047,243.0,20.774435369345536,0.041933187007089145
digits,1797,225,euclidean,ward,3,0.39088613423960544,0.39088613423960544,0.39088613423960544,218,8.243119266055047,243.0,20.774435369345536,0.005126917996676639
digits,1797,225,manhattan,kmeans,3,0.5297430993319795,0.3965245587019191,0.5453115429798416,225,7.986666666666666,292.0,19.653735715249233,0.005274304989143275
digits,1797,225,manhattan,gmm,3,0.446357590674538,0.38524516908976636,0.46424992497423845,225,7.986666666666666,292.0,19.653735715249233,0.04732891099411063
digits,1797,225,manhattan,ward,3,0.48863230091561816,0.48863230091561816,0.48863230091561816,225,7.986666666666666,292.0,19.653735715249233,0.005162765010027215
digits,1797,225,ward,kmeans,3,0.538158077570562,0.5057274491920931,0.5632782380878953,220,8.168181818181818,73.0,13.240999786040906,0.005084827993414365
digits,1797,225,ward,gmm,3,0.6164472041272092,0.5641838570925903,0.6164472041272092,220,8.168181818181818,73.0,13.240999786040904,0.060801537008956075
digits,1797,225,ward,ward,3,0.6546800020989332,0.6546800020989332,0.6546800020989332,220,8.168181818181818,73.0,13.240999786040906,0.005002133999369107
digits,1797,225,average,kmeans,3,0.5309250791801142,0.43928598562104715,0.542480582384515,217,8.28110599078341,173.0,17.853823175197615,0.005496001002029516
digits,1797,225,average,gmm,3,0.47087662980835476,0.3800375595039944,0.519563039476143,217,8.28110599078341,173.0,17.853823175197615,0.06081791799806524
digits,1797,225,average,ward,3,0.39679464164490613,0.39679464164490613,0.39679464164490613,217,8.28110599078341,173.0,17.853823175197615,0.005625335004879162
