head,scenario,seed,warmup_alarms,alarms,latency,distance_before,distance_peak,distance_after,window_before,window_after
denstream,stationary,0,1,0,,0.7709523623653944,0.7712412813137719,0.7554783948343239,1935,3935
denstream,stationary,1,2,1,528.0,0.7316870030563735,0.7316870030563735,0.6892034318970214,1903,3647
denstream,stationary,2,1,0,,0.8059650364558476,0.8103246737030795,0.801555012739071,1967,3967
denstream,jump,0,1,1,33.0,0.7709523623653944,1.0679447522476644,0.8385268774825041,1935,2239
denstream,jump,1,2,1,33.0,0.7316870030563735,1.117168884805166,0.8052379720247802,1903,2207
denstream,jump,2,1,2,33.0,0.8059650364558476,1.1852514329868682,0.7383853293829729,1967,1695
denstream,spread,0,1,8,33.0,0.7709523623653944,2.3305044999707607,0.981618403972942,1935,1439
denstream,spread,1,2,6,33.0,0.7316870030563735,1.9633704343747402,0.9715109224374456,1903,1583
denstream,spread,2,1,6,33.0,0.8059650364558476,2.0979290885478106,1.0055989893340536,1967,1751
denstream,split,0,1,6,33.0,0.7709523623653944,1.337871441069726,0.7450858629605601,1935,1535
denstream,split,1,2,3,33.0,0.7316870030563735,1.3013053240753714,0.7973778636001178,1903,1895
denstream,split,2,1,4,33.0,0.8059650364558476,1.4227689044631213,0.8122244867815793,1967,1887
denstream,gradual,0,1,7,66.0,0.7709523623653944,1.2553834995591966,0.8000611085507411,1935,975
denstream,gradual,1,2,9,66.0,0.7316870030563735,1.1811149248688015,0.7783118184488265,1903,831
denstream,gradual,2,1,7,66.0,0.8059650364558476,1.1959870350777018,0.8157146317798816,1967,895
dbstream,stationary,0,4,1,1296.0,0.40313011411204214,0.40313011411204214,0.36782287346257597,1647,3391
dbstream,stationary,1,4,2,297.0,0.41384129059699326,0.41384129059699326,0.3629396028155698,1647,2879
dbstream,stationary,2,3,2,264.0,0.42227953717205263,0.42227953717205263,0.3743190078577311,1775,3263
dbstream,jump,0,4,2,33.0,0.40313011411204214,0.8404205299172703,0.37270720664293283,1647,1407
dbstream,jump,1,4,2,33.0,0.41384129059699326,0.9125963667401701,0.4073319572696999,1647,1663
dbstream,jump,2,3,1,33.0,0.42227953717205263,0.8081434035841377,0.48392680812628763,1775,2207
dbstream,spread,0,4,8,33.0,0.40313011411204214,1.4893169481029256,0.6424125279060807,1647,1487
dbstream,spread,1,4,10,33.0,0.41384129059699326,1.317124084264606,0.6236054462088577,1647,1199
dbstream,spread,2,3,6,33.0,0.42227953717205263,1.5931965651821165,0.6623400237815702,1775,1679
dbstream,split,0,4,6,33.0,0.40313011411204214,0.6630756364201502,0.44421069603934515,1647,1455
dbstream,split,1,4,6,33.0,0.41384129059699326,0.683361499177547,0.4568503319952878,1647,1695
dbstream,split,2,3,5,33.0,0.42227953717205263,0.7365808930719643,0.4718579206836141,1775,1551
dbstream,gradual,0,4,7,99.0,0.40313011411204214,0.9221855567987285,0.47267280953019963,1647,959
dbstream,gradual,1,4,8,99.0,0.41384129059699326,0.8809306334416283,0.4611926262940712,1647,863
dbstream,gradual,2,3,5,99.0,0.42227953717205263,0.8965334834673137,0.4830215401570984,1775,959
