dataset,n,contest,method,time_s,rss_mb,n_clusters,ari
highdim,200000,kmeans-speed,betula-kmeans,0.185145333991386,219.152384,8,1.0
highdim,200000,kmeans-speed,faiss-kmeans,0.07454098100424744,208.355328,8,0.6303061833248761
highdim,200000,kmeans-speed,faiss-kmeans-matched,1.186270837992197,208.359424,8,1.0
highdim,200000,kmeans-speed,sklearn-kmeans,1.3985635889985133,266.231808,8,1.0
highdim,1000000,kmeans-speed,betula-kmeans,0.6963004529825412,537.853952,8,1.0
highdim,1000000,kmeans-speed,faiss-kmeans,0.083657042006962,537.849856,8,0.6240480191922528
highdim,1000000,kmeans-speed,faiss-kmeans-matched,5.37845935599762,537.911296,8,0.8347115430340474
highdim,1000000,kmeans-speed,sklearn-kmeans,4.99695465399418,654.78656,8,1.0
blobs,100000,hdbscan-scale,betula-hdbscan,0.18192739700316451,162.103296,3,0.4782167494644686
blobs,100000,hdbscan-scale,fast-hdbscan,1.648140135977883,315.346944,6,0.9103623194960572
blobs,500000,hdbscan-scale,betula-hdbscan,0.3195723060052842,175.005696,3,0.4782281557686972
blobs,500000,hdbscan-scale,fast-hdbscan,3.0216133639914915,410.873856,6,0.891689234095989
