dataset,n,k,method,max_leaves,seeds,ari,ari_min,ari_max,leaves,fill,threshold,max_leaf_weight,top1_mass,time_s
structured,100000,7,sklearn-kmeans,0,3,1.0,1.0,1.0,0,,,,,0.2038979630015092
structured,100000,7,sklearn-birch,0,3,0.359992157973731,0.359992157973731,0.359992157973731,7140,,0.5,80000.0,0.8,2.420751413999824
structured,100000,7,sklearn-birch-matched,250,1,0.4179613677499693,0.4179613677499693,0.4179613677499693,210,0.84,0.927509765625,80000.0,0.8,9.920423000992741
structured,100000,7,betula-kmeans,250,3,0.41740660889122205,0.4174055903620931,0.41740660889122205,241,0.964,1.6806681509739039,80000.0,0.8,0.04751018900424242
structured,100000,7,betula-kmeans/manhattan,250,3,0.41741458967422507,0.4174028696306826,0.41761844174351087,239,0.956,3.2750782384006722,80000.0,0.8,0.052938232009182684
structured,100000,7,betula-kmeans/average,250,3,0.41740160562277134,0.4173976814806137,0.41741204554199884,240,0.96,2.3829350587805185,80000.0,0.8,0.03913619001104962
structured,100000,7,betula-kmeans/diameter,250,3,0.4175002050817582,0.417406092650505,0.4175002050817582,235,0.94,1.668810574498587,81201.0,0.81201,0.03870067099342123
structured,100000,7,betula-kmeans/ward,250,3,1.0,1.0,1.0,247,0.988,3.417107647508803,10910.0,0.1091,0.030730810991371982
structured,100000,7,betula-kmeans/radius,250,3,0.41739836820612836,0.4173968055236759,0.41740510202599856,250,1.0,0.7887919983336271,81042.0,0.81042,0.03854413700173609
structured,100000,7,betula-kmeans/chi2,250,3,1.0,1.0,1.0,129,0.516,18.30703805327515,16704.0,0.16704,0.015161968010943383
structured,100000,7,betula-kmeans/subspace,250,3,1.0,1.0,1.0,129,0.516,18.30703805327515,16704.0,0.16704,0.02406229700136464
structured,100000,7,betula-ward,250,3,0.41745299188582174,0.41745299188582174,0.41745299188582174,241,0.964,1.6806681509739039,80000.0,0.8,0.05801165800949093
structured,100000,7,betula-ward/manhattan,250,3,0.4174386992305256,0.4174386992305256,0.4174386992305256,239,0.956,3.2750782384006722,80000.0,0.8,0.06480572799046058
structured,100000,7,betula-ward/average,250,3,0.41739680029147785,0.41739680029147785,0.41739680029147785,240,0.96,2.3829350587805185,80000.0,0.8,0.054869232000783086
structured,100000,7,betula-ward/diameter,250,3,0.4174022679298939,0.4174022679298939,0.4174022679298939,235,0.94,1.668810574498587,81201.0,0.81201,0.05137267899408471
structured,100000,7,betula-ward/ward,250,3,0.9969121479029277,0.9969121479029277,0.9969121479029277,247,0.988,3.417107647508803,10910.0,0.1091,0.04928145800658967
structured,100000,7,betula-ward/radius,250,3,0.4174125386722883,0.4174125386722883,0.4174125386722883,250,1.0,0.7887919983336271,81042.0,0.81042,0.046867801996995695
structured,100000,7,betula-ward/chi2,250,3,0.9986829012191182,0.9986829012191182,0.9986829012191182,129,0.516,18.30703805327515,16704.0,0.16704,0.027334547994541936
structured,100000,7,betula-ward/subspace,250,3,0.9986829012191182,0.9986829012191182,0.9986829012191182,129,0.516,18.30703805327515,16704.0,0.16704,0.035765895008808
structured,100000,7,betula-gmm,250,3,0.41913999330842583,0.41913999330842583,0.41913999330842583,241,0.964,1.6806681509739039,80000.0,0.8,0.06407342200691346
structured,100000,7,betula-gmm/manhattan,250,3,0.41913999330842583,0.41913999330842583,0.41913999330842583,239,0.956,3.2750782384006722,80000.0,0.8,0.06749558300361969
structured,100000,7,betula-gmm/average,250,3,0.41913999330842583,0.41913999330842583,0.41913999330842583,241,0.964,2.4896545066473905,80000.0,0.8,0.05477300001075491
structured,100000,7,betula-gmm/diameter,250,3,0.41913999330842583,0.41913999330842583,0.41913999330842583,247,0.988,1.620333274268642,81209.0,0.81209,0.060298315991531126
structured,100000,7,betula-gmm/ward,250,3,1.0,1.0,1.0,247,0.988,3.417107647508803,10910.0,0.1091,0.04202010000881273
structured,100000,7,betula-gmm/radius,250,3,0.41913999330842583,0.41913999330842583,0.41913999330842583,250,1.0,0.7887919983336271,81042.0,0.81042,0.05697839600907173
structured,100000,7,betula-gmm/chi2,250,3,1.0,1.0,1.0,111,0.444,18.30703805327515,23519.0,0.23519,0.02389714699529577
structured,100000,7,betula-gmm/subspace,250,3,1.0,1.0,1.0,111,0.444,18.30703805327515,23519.0,0.23519,0.03351642699271906
structured,100000,7,sklearn-birch-matched,1000,1,0.3534752025119622,0.3534752025119622,0.3534752025119622,971,0.971,0.7713378906249999,80000.0,0.8,10.120716339006322
structured,100000,7,betula-kmeans,1000,3,0.41742515029037414,0.4174003302775382,0.4175574409973934,914,0.914,1.1184853946022275,80000.0,0.8,0.07636740899761207
structured,100000,7,betula-kmeans/manhattan,1000,3,0.41739826530632246,0.4173979326259761,0.41739826530632246,993,0.993,2.652763522971645,80000.0,0.8,0.07961899098881986
structured,100000,7,betula-kmeans/average,1000,3,0.4174004091963643,0.4173968024715604,0.4174036112920214,962,0.962,1.65195749385394,80000.0,0.8,0.06242586500593461
structured,100000,7,betula-kmeans/diameter,1000,3,0.41742404936623856,0.41739680029147785,0.41742404936623856,968,0.968,1.1925036298925509,80533.0,0.80533,0.0667249649995938
structured,100000,7,betula-kmeans/ward,1000,3,1.0,1.0,1.0,937,0.937,1.7885137567322462,2996.0,0.02996,0.04880450198834296
structured,100000,7,betula-kmeans/radius,1000,3,0.4174015144955703,0.4174015144955703,0.4174057146261668,939,0.939,0.5747662109224573,80600.0,0.806,0.06470711299334653
structured,100000,7,betula-kmeans/chi2,1000,3,1.0,1.0,1.0,129,0.129,18.30703805327515,16704.0,0.16704,0.015547853996395133
