method,n,dense_array_gb,time_s,rss_mb
betula (streaming),500000,0.08,0.7495924329850823,60.399616
betula (streaming),1000000,0.16,1.3788592960045207,60.588032
betula (streaming),2000000,0.32,2.648792552005034,60.383232
betula (streaming),5000000,0.8,6.311230399005581,60.432384
betula (streaming),10000000,1.6,12.438439866993576,60.60032
sklearn-kmeans (one-shot),500000,0.08,3.4622724470100366,400.072704
sklearn-kmeans (one-shot),1000000,0.16,7.087651520996587,639.983616
sklearn-kmeans (one-shot),2000000,0.32,14.69549243999063,1120.043008
sklearn-kmeans (one-shot),5000000,0.8,22.841663898987463,2560.106496
sklearn-kmeans (one-shot),10000000,1.6,13.389013215986779,4959.768576
