dataset,n,max_leaves,head,vary,p,ari_min,ari_median,ari_max,ari_spread,pairwise_ari_mean,pairwise_ari_min,leaves_min,leaves_max,max_leaf_weight_max,time_s_median
digits,1797,4000,kmeans,order,8,0.4814090727247468,0.565122649526739,0.5848196769882794,0.1034106042635326,0.8313205702467197,0.6683446892991967,1797,1797,1.0,0.02416713150068972
digits,1797,4000,kmeans,seed,8,0.4426537509737247,0.5031713842822545,0.5712701643077048,0.1286164133339801,0.7878632808809041,0.689301791006576,1797,1797,1.0,0.025742092499058344
digits,1797,4000,kmeans,canonical,8,0.5457800774830028,0.5457800774830028,0.5457800774830028,0.0,1.0,1.0,1797,1797,1.0,0.02976871149985527
digits,1797,4000,gmm,order,8,0.3264354822238453,0.43126238225158986,0.482230994388139,0.15579551216429371,0.5128665284241462,0.37467386665723496,1797,1797,1.0,1.5691168479997941
digits,1797,4000,gmm,seed,8,0.39557514474946437,0.428451844564286,0.46132854437910764,0.06575339962964327,0.7135413611196374,0.49869738195936547,1797,1797,1.0,1.590776049500164
digits,1797,4000,gmm,canonical,8,0.3802657927670604,0.3802657927670604,0.3802657927670604,0.0,1.0,1.0,1797,1797,1.0,1.474683069999628
digits,1797,4000,ward,order,8,0.6428099608243005,0.651017092541351,0.658663660183662,0.01585369935936143,0.9261220303201,0.9082552257357634,1797,1797,1.0,0.1426620570009618
digits,1797,4000,ward,seed,8,0.6428099608243005,0.6428099608243005,0.6428099608243005,0.0,1.0,1.0,1797,1797,1.0,0.15147724300004484
digits,1797,4000,ward,canonical,8,0.6492814509092231,0.6492814509092231,0.6492814509092231,0.0,1.0,1.0,1797,1797,1.0,0.15086711149979237
digits,1797,360,kmeans,order,8,0.4886006681765243,0.5379124319820586,0.587983852801499,0.0993831846249747,0.7118070788361112,0.5965458261001588,327,358,173.0,0.011083846000474296
digits,1797,360,kmeans,seed,8,0.46377189803912616,0.5294407401891683,0.582086084043642,0.11831418600451588,0.7158794141785844,0.5943465527684045,337,337,167.0,0.00863832350114535
digits,1797,360,kmeans,canonical,8,0.4771191044227295,0.4771191044227295,0.4771191044227295,0.0,1.0,1.0,340,340,160.0,0.013046621000285086
digits,1797,360,gmm,order,8,0.0085872433257295,0.17383132170811377,0.5702192272095469,0.5616319838838174,0.2538437148757519,0.0027681556806648695,327,358,173.0,0.1495858580001368
digits,1797,360,gmm,seed,8,0.0085872433257295,0.3036850775678006,0.43163111564374124,0.4230438723180117,0.29555684746642275,-0.0006847553224305225,337,337,167.0,0.13633583399951021
digits,1797,360,gmm,canonical,8,0.5146409101879956,0.5146409101879956,0.5146409101879956,0.0,1.0,1.0,340,340,160.0,0.08982757450030476
digits,1797,360,ward,order,8,0.34267380354507054,0.4892315852798379,0.630661759411518,0.2879879558664475,0.545434515602501,0.37392441893817063,327,358,173.0,0.011212864000299305
digits,1797,360,ward,seed,8,0.630661759411518,0.630661759411518,0.630661759411518,0.0,1.0,1.0,337,337,167.0,0.009632637999857252
