dataset,method,time_s,n_clusters,noise_frac,ARI,AMI,V,silhouette,medoid_silhouette,davies_bouldin,calinski_harabasz
blobs,betula-kmeans,0.0189366599988716,6.0,0.0,0.7928795892585263,0.8213605542503188,0.8214021091742024,0.5014582336579415,0.8035356264971163,0.6882100741209379,81343.97570773549
blobs,betula-gmm,0.0790801559996907,6.0,0.0,0.8117115322129516,0.8333929904822678,0.8334317468997241,0.4948537127296424,0.7864612394180944,0.7036382866316601,81074.42070480682
blobs,betula-gmm-full,0.1833627600008185,6.0,0.0,0.810900998271244,0.8329203283713471,0.8329591955536408,0.493759007187554,0.7838710542502864,0.7046295809063362,81049.38853937636
blobs,betula-ward,0.107233325999914,6.0,0.0,0.7871550901186598,0.8021278990950698,0.8021739753220661,0.4661451673213192,0.7377451153064711,0.7220943595371822,73480.8800731535
blobs,betula-spectral,0.420333832000324,6.0,0.0,0.7420422450793259,0.7967021452401424,0.796749545039024,0.489702564762889,0.7752181804843095,0.710890963744539,79079.40061739301
blobs,betula-leiden,0.0039075299991964,5.0,0.0,0.7217728446504159,0.8127868948342201,0.8128241873934461,0.4846215267926467,0.7635265314716115,0.6911439896459027,75766.11311585939
blobs,betula-hdbscan,0.2035493969997333,3.0,0.0316,0.423220391670831,0.5574338374006567,0.5582488122270103,0.4573460734031239,0.8027396103113988,0.718978264522106,17673.247377732954
blobs,sklearn-kmeans,0.0685387159992387,6.0,0.0,0.7935359796767534,0.8217028107303197,0.8217442856005376,0.5014523701558986,0.8031814035438334,0.6883708889295725,81344.1969883639
blobs,sklearn-minibatch,0.032332722999854,6.0,0.0,0.6936490560430045,0.7946010644459853,0.7946502044863523,0.4763651691540459,0.7785955920759111,0.78735221117924,81340.10948158591
blobs,sklearn-birch,0.2313727069995366,6.0,0.0,0.7480565972059768,0.8264603446906714,0.8264947562112512,0.5027539145180729,0.8052430674849941,0.687475547878153,81340.47906875327
blobs,sklearn-gmm,0.0991608540007291,6.0,0.0,0.8067918979377914,0.8302501485094915,0.8302896362377971,0.4990741147797343,0.7973929698336625,0.6935051001475426,81130.69936822295
blobs,sklearn-ward,22.648189696999907,6.0,0.0,0.7695063598194416,0.8099916295828032,0.8100359319166067,0.4772338003936669,0.7292277504244119,0.7151309847123541,77274.78415977267
blobs,sklearn-hdbscan,3.442228034999061,3.0,0.0526333333333333,0.3239185800192085,0.6045777856380223,0.6046490878351776,0.4769212309903643,0.7581857289168653,0.6630834985309387,33910.076993794944
aniso,betula-kmeans,0.0156606009986717,3.0,0.0,0.545002920816533,0.5841811173671011,0.5842063530142773,0.5517056951918495,0.830472137935279,0.6017734142311317,123171.11202615938
aniso,betula-gmm,0.0214975390008476,3.0,0.0,0.5401989545248627,0.5756430725673574,0.5756688279898026,0.5403062796817611,0.818967024429791,0.6033117701602918,122906.08411195203
aniso,betula-gmm-full,0.0446245690000068,3.0,0.0,0.961173860239574,0.9406543829158822,0.940657984485712,0.3941525899231105,0.4659192768817919,1.0203429759578668,81614.65707866356
aniso,betula-ward,0.1041811730010522,3.0,0.0,0.5439768629777817,0.6111932045857175,0.6112171827052594,0.5415600970950376,0.800152794181947,0.60786054957703,118529.46606483676
aniso,betula-spectral,0.2969682250004553,3.0,0.0,0.4284087192435412,0.4826504518545625,0.482682020228041,0.5087868139513535,0.7344176854049886,0.6227296082526413,99895.1959470183
aniso,betula-leiden,0.0027356080008758,3.0,0.0,0.4650181568352569,0.5371637652717457,0.5372030371942513,0.5272327018444861,0.7876417673942463,0.6236427682459127,107301.39242930005
aniso,betula-hdbscan,0.2025308339998446,3.0,0.0049333333333333,0.5674692312620386,0.7176737920280838,0.7176951933272705,0.6594483000127697,0.902092822074635,0.5089016960874421,124755.37597092088
aniso,sklearn-kmeans,0.0302822289995674,3.0,0.0,0.5447819385641313,0.5832877651082334,0.5833130557156272,0.5513829505612257,0.8305604237044049,0.6019311165176507,123171.16021019976
aniso,sklearn-minibatch,0.0132900530006736,3.0,0.0,0.5466046942574194,0.5859560159696061,0.5859811479567826,0.5526906665241409,0.8306716511419228,0.6008833684339834,123166.91312579582
aniso,sklearn-birch,0.2183788009988347,3.0,0.0,0.5543915318739632,0.6079095738083424,0.6079340829681743,0.5414546803871814,0.7920223004010033,0.5947674765266739,117356.28286191337
aniso,sklearn-gmm,0.0740738530003,3.0,0.0,0.9023180515445196,0.8536242854966266,0.8536331688695358,0.531321717676598,0.7824946680137376,0.6340835505599088,121244.21713026486
aniso,sklearn-ward,22.52620462300001,3.0,0.0,0.5653925447910018,0.6395570826584812,0.6395796725254078,0.5384263459244985,0.7989522930615862,0.5986108082402839,114010.64226967627
aniso,sklearn-hdbscan,3.529872967001211,2.0,0.0050666666666666,0.5671270959380248,0.717249304914642,0.7172707314135245,0.7279321986653423,0.9319697415886814,0.3604866250455341,124775.9634360559
varied,betula-kmeans,0.0160395120001339,3.0,0.0,0.6701046322587562,0.7330432340252869,0.7330598909488822,0.5725212015873036,0.8604770993327552,0.6122763424861627,44201.022958550726
varied,betula-gmm,0.0277648579976812,3.0,0.0,0.9067651512538396,0.8767425826422063,0.8767500664396161,0.4805783134671055,0.6302594252027864,0.8722173139464736,23558.548495985076
varied,betula-gmm-full,0.0456353310000849,3.0,0.0,0.9064875515373466,0.8763108580159688,0.8763183679827914,0.4804299919198576,0.6314425505574942,0.8727733734068063,23537.210265735404
varied,betula-ward,0.1278394759974617,3.0,0.0,0.7180797861730492,0.7589360114756557,0.7589508973916144,0.5583426011904503,0.8208557027570997,0.6369973548297158,40989.15530163172
varied,betula-spectral,0.3258314099985,3.0,0.0,0.664110599573044,0.7246849868002633,0.7247021805958749,0.5685068355194547,0.8522968412121452,0.6175620645743646,43341.19495346054
varied,betula-leiden,0.0046604239996668,6.0,0.0,0.6328371162321996,0.6540782500954972,0.6541340409589127,0.4954945363384373,0.6446866876658485,0.8297557485909788,22594.35428356196
varied,betula-hdbscan,0.2119073439971543,23.0,0.2079333333333333,0.5679560832714784,0.6875212619161754,0.6876991876928171,0.4544709774386271,0.6868797399802127,0.8176496683136887,12577.803552063684
varied,sklearn-kmeans,0.0358051180010079,3.0,0.0,0.6696859601444618,0.7328152825282456,0.7328319555393862,0.5725091795336807,0.8602806082682253,0.6122423101210344,44201.17040575151
varied,sklearn-minibatch,0.0523500609997427,3.0,0.0,0.6645767099481317,0.7298271965489337,0.7298440792102664,0.5720630110832466,0.8601914666459543,0.6118718904784514,44186.89326593406
varied,sklearn-birch,0.3513307699977304,3.0,0.0,0.4600441713769037,0.4946039133739545,0.494637966401024,0.4214338857519283,0.6722430629823081,0.8849941776396211,15647.524292782457
varied,sklearn-gmm,0.10651955999856,3.0,0.0,0.9068684650420368,0.8773815792404336,0.8773890245557268,0.4814839144452323,0.646958618553488,0.870694352729466,23631.090095478416
varied,sklearn-ward,20.5159389319997,3.0,0.0,0.6734303733757883,0.7275894910244306,0.7276064567987708,0.5597813627401809,0.8341978347035739,0.6296567998756176,42022.03514467053
varied,sklearn-hdbscan,3.376140652000686,7.0,0.2563,0.8020296276035415,0.7665881275849169,0.7666338000381787,0.5680233413114053,0.840230711116663,0.5423666694215112,17000.196539535802
moons,betula-kmeans,0.0133758670017414,2.0,0.0,0.4847700962087933,0.3854932461265097,0.385508022629539,0.4986119070397629,0.782371131669548,0.8086532924616122,42005.87960123152
moons,betula-gmm,0.0186207440019643,2.0,0.0,0.5143596514487633,0.4120922879561082,0.4121064248553001,0.4989668614630018,0.7817472737725459,0.8088287957769815,41903.70467775795
moons,betula-gmm-full,0.0256958350000786,2.0,0.0,0.5033263947868152,0.4021191223500609,0.4021334990697053,0.4992874254704375,0.7806145723807819,0.8085532649723551,41966.5011119588
moons,betula-ward,0.1196208740002475,2.0,0.0,0.6373245132019729,0.6169392337311944,0.6169485829655984,0.4593482718452514,0.6407147695043546,0.8485732439553932,34674.20605791535
moons,betula-spectral,0.2754494479995628,2.0,0.0,0.9998666666665184,0.9994894753923764,0.9994894876685124,0.3970184448677645,-0.0011669971609409,1.0166028767707644,26354.45854979812
moons,betula-leiden,0.0027390350005589,2.0,0.0,0.5116855489693775,0.4225817694743303,0.4226037639608323,0.4894621225957314,0.7808136947847789,0.810563069868959,41485.66261983861
moons,betula-hdbscan,0.2092367189998185,2.0,0.0,0.9998666666665184,0.9994894753923764,0.9994894876685124,0.3970184448677645,0.2126912621355088,1.0167421601519475,26347.54699462092
