dataset,method,min,median,max,range
blobs,betula-kmeans,0.7217323149841238,0.7932688674929146,0.8612360633177732,0.13950374833364942
blobs,betula-gmm,0.7290311844498794,0.8116291834305257,0.8645799208503834,0.13554873640050402
blobs,betula-gmm-full,0.728311246394899,0.8111165342448377,0.8634418965881792,0.1351306501932802
blobs,betula-ward,0.7119727966025742,0.7850423594542104,0.7948611145082863,0.08288831790571216
blobs,betula-spectral,0.7163038743054748,0.780030921178467,0.8394279291944249,0.12312405488895006
blobs,betula-leiden,0.5552397293575022,0.7217728446504159,0.8057034124006762,0.250463683043174
blobs,betula-hdbscan,0.1208687076194109,0.1417184388085196,0.324106283277932,0.2032375756585211
blobs,sklearn-kmeans,0.7215385070522097,0.7935359796767534,0.8614065975984224,0.13986809054621274
blobs,sklearn-minibatch,0.6273921177604352,0.6936490560430045,0.8612438369449327,0.23385171918449743
blobs,sklearn-birch,0.6541240788837906,0.7480565972059768,0.8603737116038856,0.206249632720095
blobs,sklearn-gmm,0.7275089697584121,0.8067918979377914,0.8644289528106918,0.1369199830522797
blobs,sklearn-ward,0.7058548737458071,0.7695063598194416,0.8203327995578367,0.11447792581202954
blobs,sklearn-hdbscan,0.2653923327124067,0.3239185800192085,0.4431742456796256,0.1777819129672189
aniso,betula-kmeans,0.5417071922275105,0.5450999132616483,0.988651999734196,0.4469448075066855
aniso,betula-gmm,0.5144692196644381,0.5401989545248627,0.9983011319450774,0.48383191228063926
aniso,betula-gmm-full,0.9013630375278556,0.9612699443503072,0.9987007583831704,0.09733772085531478
aniso,betula-ward,0.5265603080437171,0.5709444208453373,0.9982012853545346,0.47164097731081744
aniso,betula-spectral,0.3942266059533234,0.4020498594324834,0.9982012853545346,0.6039746794012112
aniso,betula-leiden,0.4549500853614561,0.4650181568352569,0.9972037354405736,0.5422536500791175
aniso,betula-hdbscan,0.3399826404339776,0.5677088948509798,0.571289797784678,0.23130715735070045
aniso,sklearn-kmeans,0.540862709308327,0.5447819385641313,0.988651999734196,0.447789290425869
aniso,sklearn-minibatch,0.5441777359961739,0.5466046942574194,0.9878614370415124,0.4436837010453385
aniso,sklearn-birch,0.5462628033998692,0.5543915318739632,0.98576472519758,0.43950192179771075
aniso,sklearn-gmm,0.6264977775553292,0.9023180515445196,0.9987007583831704,0.3722029808278412
aniso,sklearn-ward,0.5319599943347738,0.5653925447910018,0.9983013319810412,0.4663413376462674
aniso,sklearn-hdbscan,0.4530097684020147,0.5671270959380248,0.9929621553449042,0.5399523869428895
varied,betula-kmeans,0.5393995044138088,0.6698535241024467,0.763656278446745,0.2242567740329362
varied,betula-gmm,0.756215201637099,0.9068570948848688,0.966179402772366,0.20996420113526704
varied,betula-gmm-full,0.7566354478894879,0.906949518448943,0.9660827690402504,0.20944732115076248
varied,betula-ward,0.5885399837179004,0.7373681932050816,0.9205852019880584,0.332045218270158
varied,betula-spectral,0.5651226204685852,0.6655680082913198,0.7168503952919666,0.1517277748233814
varied,betula-leiden,0.5423581585602155,0.6328371162321996,0.8010542430128271,0.2586960844526116
varied,betula-hdbscan,0.2423280441146396,0.5406025131812453,0.5680112582616132,0.32568321414697365
varied,sklearn-kmeans,0.5388897681362952,0.6696859601444618,0.7638662895493665,0.22497652141307134
varied,sklearn-minibatch,0.538829148090665,0.6645767099481317,0.7655502343875422,0.22672108629687726
varied,sklearn-birch,0.2156047896482771,0.4600441713769037,0.7999935584003096,0.5843887687520325
varied,sklearn-gmm,0.7524376839944148,0.9068684650420368,0.9660828402607012,0.21364515626628644
varied,sklearn-ward,0.4588806487953568,0.6734303733757883,0.9206780280947248,0.461797379299368
varied,sklearn-hdbscan,0.4477255370631972,0.8020296276035415,0.8386135700281087,0.3908880329649115
moons,betula-kmeans,0.4837494088640348,0.4841204434477537,0.4850486522248259,0.0012992433607911247
moons,betula-gmm,0.514264026038993,0.5142640260424474,0.5195366240547213,0.005272598015728325
moons,betula-gmm-full,0.5034209979719184,0.5035156099874954,0.5045569364084032,0.0011359384364847402
moons,betula-ward,0.5692064546998389,0.6522065950708332,0.6870098223635315,0.11780336766369259
moons,betula-spectral,0.9996000266671112,0.9997333422222222,0.9997333422222224,0.00013331555511120197
moons,betula-leiden,0.4430822020080619,0.5116855489693775,0.5406998020446464,0.09761760003658448
moons,betula-hdbscan,0.9994667200011856,0.9996000266671112,0.9996666866662222,0.00019996666503652172
moons,sklearn-kmeans,0.4840276714751547,0.4844916202590565,0.4847700963187163,0.0007424248435616287
moons,sklearn-minibatch,0.4824519079771295,0.4835639471809845,0.4843988146278593,0.0019469066507297739
moons,sklearn-birch,0.5956624175474923,0.615898818187456,0.6859050735960963,0.09024265604860404
moons,sklearn-gmm,0.5025698895558902,0.503610230900652,0.5070225048677699,0.004452615311879682
moons,sklearn-ward,0.4608438320799478,0.5065492557371563,0.6329676363429979,0.17212380426305013
moons,sklearn-hdbscan,0.9998000066662224,0.9998666666665184,1.0,0.00019999333377762607
circles,betula-kmeans,-3.3117662655415134e-05,-3.189465191246476e-05,-2.131687889241357e-05,1.1800783763001564e-05
circles,betula-gmm,-3.329308879050747e-05,-3.326390883544087e-05,-3.2335222338455326e-05,9.578664520521463e-07
circles,betula-gmm-full,-3.326397758305134e-05,-3.3175289010597565e-05,-3.317355668950028e-05,9.042089355105793e-08
circles,betula-ward,0.0029776374423526,0.0085423067049377,0.0103574315175789,0.0073797940752263
circles,betula-spectral,1.0,1.0,1.0,0.0
circles,betula-leiden,0.0004232470162883,0.0071860909056511,0.0097848740267736,0.0093616270104853
circles,betula-hdbscan,1.0,1.0,1.0,0.0
circles,sklearn-kmeans,-3.3330929611480703e-05,-3.1375287531323895e-05,-2.6917250474926936e-05,6.413679136553768e-06
circles,sklearn-minibatch,-3.233504098716854e-05,-3.233412830422297e-05,-3.173096517251789e-05,6.040758146506488e-07
