dataset,n,method,time_s,n_clusters,noise_frac,ARI,AMI,V,silhouette,medoid_silhouette,davies_bouldin,calinski_harabasz,error
digits,1797,betula-kmeans,0.0210299500013206,10.0,0.0,0.467026404456856,0.6237510199162738,0.6276658777978884,0.142047829162909,0.388639167568546,1.8755707307738452,113.72318270257196,
digits,1797,betula-gmm,0.5193770559999393,10.0,0.0,0.4613285443791076,0.620351484758529,0.624217948749868,0.1113098365965604,0.2790138440125985,2.1874858122858685,94.48411355970728,
digits,1797,betula-gmm-full,12.354902645000038,10.0,0.0,0.5751577883354841,0.701091406543959,0.7041798103775208,0.1264004583100121,0.3652731193775719,2.019321692849892,102.57557341103691,
digits,1797,betula-ward,0.1348779909985751,10.0,0.0,0.6428099608243005,0.7719012371357887,0.7741586577554125,0.122236268082964,0.3446538332232123,1.897919706830254,102.79842619519007,
digits,1797,betula-spectral,0.2136148999998113,10.0,0.0,0.6688405316550322,0.7684686856642909,0.7708066183722613,0.1294092720181647,0.3701784370769522,2.0230926444690978,102.73629400914724,
digits,1797,betula-leiden,0.0295522579999669,13.0,0.0,0.7278711309350181,0.794193868690653,0.7969487897529425,0.1203326887190306,0.355660722599889,2.013315364048321,92.86266694035034,
digits,1797,betula-hdbscan,0.0829712949998793,7.0,0.5804117974401781,0.1639316740361119,0.5161654111012332,0.5208012847304709,0.2730431045766913,0.57357010778951,1.4757459247886455,133.69343863441975,
digits,1797,sklearn-kmeans,0.0547980970004573,10.0,0.0,0.4679268850431874,0.6228474847427049,0.6267741408963476,0.1463069230312264,0.3926763261936845,1.8947458033424012,115.02305058650934,
digits,1797,sklearn-minibatch,0.0160934579998865,10.0,0.0,0.528287727196969,0.6418573268593007,0.645577492112095,0.1074918955400677,0.3404249673383627,2.192122435122826,98.70611571795452,
digits,1797,sklearn-birch,0.1508780740005022,10.0,0.0,0.6643458356002894,0.7934927361004465,0.7955873641548867,0.1253252777919698,0.3396242766598912,1.9671781554189507,105.82516364183334,
digits,1797,sklearn-gmm,0.3071343159990647,10.0,0.0,0.4626427944708444,0.6393861554737397,0.6432449999888498,0.1305822035215654,0.3585269769644667,2.0314482629204167,105.8198743661788,
digits,1797,sklearn-ward,0.081303041000865,10.0,0.0,0.6643458356002894,0.7934927361004465,0.7955873641548867,0.1253252777919698,0.3396242766598912,1.9671781554189507,105.82516364183334,
digits,1797,sklearn-hdbscan,0.2385022380003647,7.0,0.6054535336672231,0.1485108609198038,0.5054312939465465,0.5102930079614506,0.2848710257527782,0.5903640153754263,1.4256112194214288,136.08531155186196,
mnist,20000,betula-kmeans,1.2393777969991788,10.0,0.0,0.3265219533678442,0.4451332899473821,0.4456365201256993,-0.001454547592645,0.1552657360446227,3.3158431499405103,421.4272689385015,
