dataset,n,max_leaves,method,n_clusters,noise_frac,ARI,AMI,V,silhouette,medoid_silhouette,davies_bouldin,calinski_harabasz
digits,1797,1797,betula-kmeans,10.0,0.0,0.467026404456856,0.6237510199162738,0.6276658777978884,0.142047829162909,0.388639167568546,1.8755707307738452,113.72318270257196
digits,1797,1797,betula-gmm,10.0,0.0,0.4613285443791076,0.620351484758529,0.624217948749868,0.1113098365965604,0.2790138440125985,2.1874858122858685,94.48411355970728
digits,1797,1797,sklearn-kmeans,10.0,0.0,0.4679268850431874,0.6228474847427049,0.6267741408963476,0.1463069230312264,0.3926763261936845,1.8947458033424012,115.02305058650934
digits,1797,1797,betula-gmm-full,10.0,0.0,0.5751577883354841,0.701091406543959,0.7041798103775208,0.1264004583100121,0.3652731193775719,2.019321692849892,102.57557341103691
digits,1797,1797,sklearn-gmm,10.0,0.0,0.4626427944708444,0.6393861554737397,0.6432449999888498,0.1305822035215654,0.3585269769644667,2.0314482629204167,105.8198743661788
mnist,20000,16000,betula-kmeans,10.0,0.0,0.3133132255664803,0.4283864459996828,0.4289029146516459,0.0091274854946119,0.1610208123605097,3.321718097472869,423.8725750438922
mnist,20000,16000,betula-gmm,10.0,0.0,0.2588541822085181,0.3705137041383444,0.3710890034550299,-0.0432700546204434,0.0169731920372244,4.1566610628061005,303.83532435048375
mnist,20000,16000,sklearn-kmeans,10.0,0.0,0.3243654991825125,0.4347354866076107,0.4352461630694851,0.0091656972659649,0.1734935793189975,3.3092770772615703,424.5468159388037
covtype,20000,16000,betula-kmeans,7.0,0.0,0.0635168097688434,0.1677819929106455,0.1683393693996254,0.1055911831917428,0.3899593318597484,2.190493623348462,744.5106593774802
covtype,20000,16000,betula-gmm,7.0,0.0,0.0800707918277487,0.1997547707329217,0.2003094481979438,0.1181759817834068,0.3471423253519153,2.584167599710117,717.7864282006881
covtype,20000,16000,sklearn-kmeans,7.0,0.0,0.0539173936491483,0.1751795665193808,0.1757342524249114,0.1108042123759059,0.4162440744853227,2.201753600440552,751.7020988003255
covtype,20000,16000,betula-gmm-full,7.0,0.0,0.0801555286872147,0.1997224944165747,0.2002769491975943,0.1162457231222971,0.3566602194496909,2.530645239072715,701.8429052145806
covtype,20000,16000,sklearn-gmm,7.0,0.0,0.080095892448966,0.1932771905536842,0.1938276962157691,0.105777073685767,0.3866697706498126,2.1411143703093662,713.5604678433766
