dataset,n,max_leaves,method,min,median,max,range
digits,1797,1797,betula-kmeans,0.4426537509737247,0.467026404456856,0.5712701643077048,0.1286164133339801
digits,1797,1797,betula-gmm,0.4613285443791076,0.4613285443791076,0.4613285443791076,0.0
digits,1797,1797,sklearn-kmeans,0.4674643278241426,0.4679268850431874,0.4683202979187053,0.0008559700945626747
digits,1797,1797,betula-gmm-full,0.5751577883354841,0.5751577883354841,0.5751577883354841,0.0
digits,1797,1797,sklearn-gmm,0.4015803769710985,0.4626427944708444,0.6009459056547714,0.19936552868367285
mnist,20000,16000,betula-kmeans,0.3043740955486725,0.3214524386363229,0.3214970325097891,0.017122936961116608
mnist,20000,16000,betula-gmm,0.2479272490656325,0.2705946352261911,0.2833580505891145,0.03543080152348202
mnist,20000,16000,sklearn-kmeans,0.3230952989843026,0.3243654991825125,0.327234573756358,0.00413927477205539
covtype,20000,16000,betula-kmeans,0.0470924138659767,0.0682730686008104,0.0854634963834691,0.038371082517492404
covtype,20000,16000,betula-gmm,0.068423371948505,0.1034520311142177,0.1055947949405098,0.03717142299200481
covtype,20000,16000,sklearn-kmeans,0.0372871685120891,0.0539173936491483,0.0837942420239959,0.04650707351190679
covtype,20000,16000,betula-gmm-full,0.068423371948505,0.1003698400528242,0.1055947949405098,0.03717142299200481
covtype,20000,16000,sklearn-gmm,0.0546638032759896,0.080095892448966,0.102212813116291,0.0475490098403014
