dataset,n,method,min,median,max,range
digits,1797,betula-kmeans,0.4426537509737247,0.467026404456856,0.5712701643077048,0.1286164133339801
digits,1797,betula-gmm,0.4613285443791076,0.4613285443791076,0.4613285443791076,0.0
digits,1797,betula-gmm-full,0.5751577883354841,0.5751577883354841,0.5751577883354841,0.0
digits,1797,betula-ward,0.6428099608243005,0.6428099608243005,0.6428099608243005,0.0
digits,1797,betula-spectral,0.6019421323868428,0.6532769510747086,0.6569568886993884,0.0550147563125456
digits,1797,betula-leiden,0.718565761508721,0.7805886579865807,0.7981194444960058,0.07955368298728482
digits,1797,betula-hdbscan,0.1639316740361119,0.1639316740361119,0.1639316740361119,0.0
digits,1797,sklearn-kmeans,0.4674643278241426,0.4679268850431874,0.4683202979187053,0.0008559700945626747
digits,1797,sklearn-minibatch,0.4653618892980893,0.528287727196969,0.5787728570630295,0.1134109677649402
digits,1797,sklearn-birch,0.6643458356002894,0.6643458356002894,0.6643458356002894,0.0
digits,1797,sklearn-gmm,0.4015803769710985,0.4626427944708444,0.6009459056547714,0.19936552868367285
digits,1797,sklearn-ward,0.6643458356002894,0.6643458356002894,0.6643458356002894,0.0
digits,1797,sklearn-hdbscan,0.1485108609198038,0.1485108609198038,0.1485108609198038,0.0
mnist,20000,betula-kmeans,0.275221717256002,0.302172979093034,0.3416676513419535,0.06644593408595151
mnist,20000,betula-gmm,0.2435422957553683,0.2772515383287027,0.3028889440674364,0.059346648312068095
mnist,20000,betula-gmm-full,,,,
mnist,20000,betula-ward,0.3666618312141649,0.377427023783042,0.3904792420877819,0.023817410873616995
mnist,20000,betula-spectral,0.1359469281811153,0.1550632901586012,0.2123579263222461,0.07641099814113078
mnist,20000,betula-leiden,0.0024399318798354,0.0045338746401909,0.0081733477154382,0.005733415835602799
mnist,20000,betula-hdbscan,0.0,0.0,0.0,0.0
mnist,20000,sklearn-kmeans,0.3230952989843026,0.3243654991825125,0.327234573756358,0.00413927477205539
mnist,20000,sklearn-minibatch,0.2367184414543358,0.2863203146252148,0.296134108087992,0.05941566663365622
mnist,20000,sklearn-birch,0.4008660724810096,0.4257128440663819,0.4522808237060149,0.05141475122500533
mnist,20000,sklearn-gmm,,,,
mnist,20000,sklearn-ward,,,,
mnist,20000,sklearn-hdbscan,,,,
covtype,20000,betula-kmeans,0.0754760724255553,0.0877787902471359,0.0999450911785388,0.02446901875298349
covtype,20000,betula-gmm,0.0820346376559346,0.0881936076713572,0.112856883622932,0.030822245966997397
covtype,20000,betula-gmm-full,0.0807681122609968,0.0876904799578264,0.1113104808711515,0.030542368610154705
covtype,20000,betula-ward,0.0861327670654759,0.0909904836839614,0.0930704720153323,0.006937704949856405
covtype,20000,betula-spectral,0.0142914774403474,0.036787437281895,0.1006414750070516,0.08634999756670421
covtype,20000,betula-leiden,0.0532509614690834,0.055691310321634,0.0566474370725449,0.003396475603461506
covtype,20000,betula-hdbscan,0.0484386019163549,0.051372804367658,0.0516607702790674,0.0032221683627125033
covtype,20000,sklearn-kmeans,0.0372871685120891,0.0539173936491483,0.0837942420239959,0.04650707351190679
covtype,20000,sklearn-minibatch,0.0053236922929906,0.0519218874938722,0.0658135823544062,0.06048989006141559
covtype,20000,sklearn-birch,0.1189492430863932,0.1306246382611588,0.1382403498046208,0.019291106718227605
covtype,20000,sklearn-gmm,0.0546638032759896,0.080095892448966,0.102212813116291,0.0475490098403014
covtype,20000,sklearn-ward,,,,
covtype,20000,sklearn-hdbscan,,,,
