method,n,time_s,rss_mb,n_clusters,error
betula-kmeans,10000,0.03047777000028873,44.593152,6.0,
betula-kmeans,50000,0.04399582499991084,46.313472,6.0,
betula-kmeans,200000,0.07744114400020408,54.632448,6.0,
betula-kmeans,1000000,0.22981873399976394,91.623424,6.0,
betula-gmm,10000,0.035745533000408614,48.644096,6.0,
betula-gmm,50000,0.05342874899997696,50.876416,6.0,
betula-gmm,200000,0.09082140999998956,58.281984,6.0,
betula-gmm,1000000,0.27402939300009166,95.547392,6.0,
betula-gmm-full,10000,0.042464005000056204,50.356224,6.0,
betula-gmm-full,50000,0.06342620599980364,52.719616,6.0,
betula-gmm-full,200000,0.1152866659999745,60.030976,6.0,
betula-gmm-full,1000000,0.32719573900021715,97.345536,6.0,
betula-ward,10000,0.10284656799967706,45.232128,6.0,
betula-ward,50000,0.14400717200032886,47.02208,6.0,
betula-ward,200000,0.17464426200012895,54.734848,6.0,
betula-ward,1000000,0.3786819860001742,91.537408,6.0,
betula-hdbscan,10000,0.36193636300004073,45.236224,4.0,
betula-hdbscan,50000,0.4067827170001692,47.558656,3.0,
betula-hdbscan,200000,0.41216478599972106,54.673408,3.0,
betula-hdbscan,1000000,0.6525829879997218,91.66848,0.0,
sklearn-kmeans,10000,0.7083231020001222,169.61536,6.0,
sklearn-kmeans,50000,0.7661008079999192,176.4352,6.0,
sklearn-kmeans,200000,0.9845144900000378,198.537216,6.0,
sklearn-kmeans,1000000,2.6506463739997344,317.243392,6.0,
sklearn-minibatch,10000,0.697982791999948,169.025536,6.0,
sklearn-minibatch,50000,0.74460685799977,170.553344,6.0,
sklearn-minibatch,200000,0.7085395700000845,178.069504,6.0,
sklearn-minibatch,1000000,2.5722302760000275,216.7808,6.0,
sklearn-birch,10000,0.7759157509999568,168.665088,5.0,
sklearn-birch,50000,1.0837970969996604,171.286528,6.0,
sklearn-birch,200000,2.1989013339998564,177.844224,6.0,
sklearn-birch,1000000,8.277893365999716,209.637376,6.0,
sklearn-gmm,10000,0.7120011779998094,172.544,6.0,
sklearn-gmm,50000,0.7910600029999841,185.716736,6.0,
sklearn-gmm,200000,1.0901215280000542,238.112768,6.0,
sklearn-gmm,1000000,3.8362678270000288,544.899072,6.0,
sklearn-ward,10000,2.4671884910003428,968.155136,6.0,
sklearn-ward,50000,,,,skipped (O(N^2))
sklearn-ward,200000,,,,skipped (O(N^2))
sklearn-ward,1000000,,,,skipped (O(N^2))
sklearn-hdbscan,10000,0.9799037109996789,172.797952,4.0,
sklearn-hdbscan,50000,,,,skipped (O(N^2))
sklearn-hdbscan,200000,,,,skipped (O(N^2))
sklearn-hdbscan,1000000,,,,skipped (O(N^2))
