scenario,seed,method,chunk,phase,ari,learn_s,us_per_point,clusters
stationary,0,betula DenStream,0,before,0.6010785753635866,0.0001975820050574839,0.7903280202299356,3
stationary,0,betula DenStream,1,before,0.63340024610527,2.9276001441758126e-05,0.1171040057670325,3
stationary,0,betula DenStream,2,before,0.6790792951534307,2.7531998057384044e-05,0.11012799222953618,3
stationary,0,betula DenStream,3,before,0.7225533684374036,2.716099697863683e-05,0.10864398791454732,3
stationary,0,betula DenStream,4,before,0.5892555022701789,2.734100417001173e-05,0.10936401668004692,3
stationary,0,betula DenStream,5,before,0.7399291460090046,2.6839996280614287e-05,0.10735998512245715,3
stationary,0,betula DenStream,6,before,0.7387206206756107,2.9875998734496534e-05,0.11950399493798614,3
stationary,0,betula DenStream,7,before,0.7456380663359834,2.7362002583686262e-05,0.10944801033474505,3
stationary,0,betula DenStream,8,after,0.7701270682287664,2.8233000193722546e-05,0.11293200077489018,3
stationary,0,betula DenStream,9,after,0.6760639252901938,2.764199598459527e-05,0.11056798393838108,3
stationary,0,betula DenStream,10,after,0.7345398160232863,3.5597004170995206e-05,0.14238801668398082,3
stationary,0,betula DenStream,11,after,0.6592223638547292,2.725100057432428e-05,0.10900400229729712,3
stationary,0,betula DenStream,12,after,0.7193084596070384,2.7993002731818706e-05,0.11197201092727482,3
stationary,0,betula DenStream,13,after,0.7166141836717709,2.7551999664865434e-05,0.11020799865946174,3
stationary,0,betula DenStream,14,after,0.7956640274922422,2.8013004339300096e-05,0.11205201735720038,3
stationary,0,betula DenStream,15,after,0.7775795759833153,2.928500180132687e-05,0.11714000720530748,3
stationary,0,river DenStream,0,before,0.22049300682478484,0.0009357689996249974,3.7430759984999895,18
stationary,0,river DenStream,1,before,0.24901075527809216,0.0012862079965998419,5.1448319863993675,18
stationary,0,river DenStream,2,before,0.2449277715806713,0.0012523940022219904,5.0095760088879615,18
stationary,0,river DenStream,3,before,0.2339543946301453,0.0012474950053729117,4.989980021491647,18
stationary,0,river DenStream,4,before,0.22970814623151775,0.0012551800027722493,5.020720011088997,18
stationary,0,river DenStream,5,before,0.242932407922072,0.0012506409984780475,5.00256399391219,18
stationary,0,river DenStream,6,before,0.22643141570321398,0.001250891000381671,5.003564001526684,18
stationary,0,river DenStream,7,before,0.2351050813771472,0.0012759689998347312,5.103875999338925,18
stationary,0,river DenStream,8,after,0.22307588604897535,0.0013470019985106774,5.3880079940427095,18
stationary,0,river DenStream,9,after,0.2321460571725109,0.0012493390022427775,4.99735600897111,18
stationary,0,river DenStream,10,after,0.2282477994947777,0.0013164340052753687,5.265736021101475,18
stationary,0,river DenStream,11,after,0.2232788614734662,0.0012493079993873835,4.997231997549534,18
stationary,0,river DenStream,12,after,0.2335860562686002,0.001256221003131941,5.024884012527764,18
stationary,0,river DenStream,13,after,0.2290286356234321,0.001251201996637974,5.004807986551896,18
stationary,0,river DenStream,14,after,0.22714320916158692,0.00128451400087215,5.1380560034886,18
stationary,0,river DenStream,15,after,0.2349302507859927,0.0012632549987756647,5.053019995102659,18
stationary,0,betula DbStream,0,before,0.8179224080708831,9.007899643620476e-05,0.36031598574481905,5
