scenario,d,N_k_over_d,method,ARI
ar,32,0.9375,toe-AR,0.5308227816173132
ar,32,0.9375,toe-full,0.5005752389002371
ar,32,0.9375,toe-gs,0.5296053451671612
ar,32,0.9375,b-diag,0.05825144936202892
ar,32,0.9375,b-full,-0.0014453523680323557
ar,32,0.9375,sk-diag,0.07677635622809853
ar,32,0.9375,sk-full,-0.00879432446164558
ar,64,0.46875,toe-AR,0.6985060743757503
ar,64,0.46875,toe-full,0.5729937333325307
ar,64,0.46875,toe-gs,0.6365872834715565
ar,64,0.46875,b-diag,0.01045276656110202
ar,64,0.46875,b-full,0.011167842732296866
ar,64,0.46875,sk-diag,0.002228335106349496
ar,64,0.46875,sk-full,-0.010390173318289892
ar,128,0.234375,toe-AR,0.9341262346545519
ar,128,0.234375,toe-full,0.9664753465150577
ar,128,0.234375,toe-gs,0.9664753465150577
ar,128,0.234375,b-diag,0.00968872782520439
ar,128,0.234375,b-full,-0.005142798805543503
ar,128,0.234375,sk-diag,-0.01158954133241434
ar,128,0.234375,sk-full,-0.01085353474088782
ar,256,0.1171875,toe-AR,1.0
ar,256,0.1171875,toe-full,1.0
ar,256,0.1171875,toe-gs,1.0
ar,256,0.1171875,b-diag,-0.015226358405051689
ar,256,0.1171875,b-full,0.02325106556749445
ar,256,0.1171875,sk-diag,-7.631112043802583e-05
ar,256,0.1171875,sk-full,-0.011989963672580779
echo,64,0.46875,toeplitz-AR,-0.004996612992436719
echo,64,0.46875,toeplitz-full,0.7313741064336775
echo,64,0.46875,toeplitz-gs,0.37592377081622647
echo,64,0.46875,betula-diag,0.0023319329062347523
echo,96,0.3125,toeplitz-AR,-0.011775809184702174
echo,96,0.3125,toeplitz-full,0.9340740740740741
echo,96,0.3125,toeplitz-gs,0.48170675343402786
echo,96,0.3125,betula-diag,0.02084923397680523
echo,128,0.234375,toeplitz-AR,-0.009673892865246178
echo,128,0.234375,toeplitz-full,1.0
echo,128,0.234375,toeplitz-gs,0.5002720754874935
echo,128,0.234375,betula-diag,-0.010065678552555425
echo,192,0.15625,toeplitz-AR,0.0007175499785323162
echo,192,0.15625,toeplitz-full,1.0
echo,192,0.15625,toeplitz-gs,0.5231508245376689
echo,192,0.15625,betula-diag,-0.0068090728354834
