scenario,d,method,min,median,max,range
ar,32,toe-AR,0.5212040518901023,0.5308227816173132,0.6582323032348486,0.13702825134474628
ar,32,toe-full,0.4873097636586323,0.5005752389002371,0.5543878954607978,0.06707813180216549
ar,32,toe-gs,0.5108604615619746,0.5296053451671612,0.5885440712374856,0.07768360967551102
ar,32,b-diag,0.01275529195721766,0.05825144936202892,0.07520917789765935,0.06245388594044169
ar,32,b-full,-0.006677187533401656,-0.0014453523680323557,0.03918792506257427,0.04586511259597593
ar,32,sk-diag,0.0033664259354535464,0.07677635622809853,0.07793724270641574,0.0745708167709622
ar,32,sk-full,-0.014310149304228512,-0.00879432446164558,0.041815670469811356,0.05612581977403987
ar,64,toe-AR,0.6817165847116674,0.6985060743757503,0.7635759897828863,0.08185940507121892
ar,64,toe-full,0.5655845665142946,0.5729937333325307,0.7213525360050094,0.1557679694907148
ar,64,toe-gs,0.5832076237557781,0.6365872834715565,0.7635759897828863,0.18036836602710826
ar,64,b-diag,-0.015234647510228709,0.01045276656110202,0.02256265460950964,0.03779730211973835
ar,64,b-full,-0.007384403476663882,0.011167842732296866,0.018708047267808378,0.02609245074447226
ar,64,sk-diag,-0.01840541696182982,0.002228335106349496,0.03071496536384628,0.0491203823256761
ar,64,sk-full,-0.010821571680151094,-0.010390173318289892,-0.006307819014115979,0.004513752666035114
ar,128,toe-AR,0.9340740740740741,0.9341262346545519,0.9664753465150577,0.032401272440983675
ar,128,toe-full,0.8444797458300238,0.9664753465150577,0.9664753465150577,0.1219956006850339
ar,128,toe-gs,0.9341262346545519,0.9664753465150577,1.0,0.06587376534544809
ar,128,b-diag,-0.00791545088450122,0.00968872782520439,0.011967204766512196,0.019882655651013416
ar,128,b-full,-0.014059507980838354,-0.005142798805543503,-0.005114241440660133,0.008945266540178222
ar,128,sk-diag,-0.015364589979837166,-0.01158954133241434,0.012040541570350801,0.027405131550187967
ar,128,sk-full,-0.01192472754867138,-0.01085353474088782,0.006564495530012772,0.018489223078684152
ar,256,toe-AR,1.0,1.0,1.0,0.0
ar,256,toe-full,1.0,1.0,1.0,0.0
ar,256,toe-gs,1.0,1.0,1.0,0.0
ar,256,b-diag,-0.017456692262181196,-0.015226358405051689,0.010966928055684102,0.0284236203178653
ar,256,b-full,-0.017456692262181196,0.02325106556749445,0.02330951911393291,0.04076621137611411
ar,256,sk-diag,-0.005114241440660133,-7.631112043802583e-05,0.02145620152823034,0.02657044296889047
ar,256,sk-full,-0.01840541696182982,-0.011989963672580779,0.032337102166866596,0.050742519128696414
echo,64,toeplitz-AR,-0.011040350143844207,-0.004996612992436719,-0.001349594446868716,0.00969075569697549
echo,64,toeplitz-full,0.6693924359901274,0.7313741064336775,0.7870475561845889,0.11765512019446145
echo,64,toeplitz-gs,0.37092306034346134,0.37592377081622647,0.3760256052023268,0.005102544858865465
echo,64,betula-diag,-0.0035648370540793364,0.0023319329062347523,0.02006168937880818,0.023626526432887516
echo,96,toeplitz-AR,-0.014500503802441894,-0.011775809184702174,-0.010860835978431297,0.003639667824010597
echo,96,toeplitz-full,0.9335189074959619,0.9340740740740741,1.0,0.06648109250403811
echo,96,toeplitz-gs,0.4753419692084629,0.48170675343402786,0.4872886662492173,0.011946697040754406
echo,96,betula-diag,-0.014194889584675132,0.02084923397680523,0.02330951911393291,0.03750440869860804
echo,128,toeplitz-AR,-0.01145394905254886,-0.009673892865246178,-0.006855749435350083,0.004598199617198778
echo,128,toeplitz-full,1.0,1.0,1.0,0.0
echo,128,toeplitz-gs,0.4943823074386873,0.5002720754874935,0.5231508245376689,0.02876851709898165
echo,128,betula-diag,-0.013059808566673256,-0.010065678552555425,-0.0013407623372270253,0.011719046229446231
echo,192,toeplitz-AR,-0.005644471339440352,0.0007175499785323162,0.00583096892383995,0.011475440263280302
echo,192,toeplitz-full,1.0,1.0,1.0,0.0
echo,192,toeplitz-gs,0.5038843767340968,0.5231508245376689,0.5260355029585799,0.02215112622448312
echo,192,betula-diag,-0.015329970602677006,-0.0068090728354834,0.018837148786819073,0.03416711938949608
